epic_name,pl_orbper,pl_ratror,st_rad
EPIC 201270176,1.5778643,0.115,0.73
EPIC 201295312,5.65706,,1.09
EPIC 201295312,5.656256,0.01714,1.03
EPIC 201324549,2.5194078,0.04461,1.72
EPIC 201338508,5.7348462,0.03962,0.62
EPIC 201345483,1.7292591,0.1388,0.66
EPIC 201367065,44.56115,0.02497,0.58
EPIC 201367065,24.645013,0.02858,0.58
EPIC 201367065,10.054374,0.03496,0.58
EPIC 201384232,30.944648,0.02632,0.96
EPIC 201403446,19.15344,,1.12
EPIC 201403446,19.153765,0.01692,1.32
EPIC 201407812,2.8268121,0.456,0.98
EPIC 201441872,4.4416421,0.01089,0.9
EPIC 201445392,10.3535,3.77,0.8
EPIC 201445392,5.0639064,0.02909,0.73
EPIC 201445392,10.353263,0.03636,0.73
EPIC 201445392,5.06468,,0.74
EPIC 201460826,17.355681,0.01418,1.06
EPIC 201465501,18.4474,11,0.47
EPIC 201465501,18.448653,0.05692,0.52
EPIC 201488365,3.3643115,0.6248,1.32
EPIC 201497682,7.7991586,0.01829,0.7
EPIC 201497682,13.837814,0.02306,0.7
EPIC 201505350,2.5084894,0.01312,0.84
EPIC 201505350,11.90767,0.0465,0.84
EPIC 201505350,7.9194979,0.07517,0.84
EPIC 201512465,2.3330982,0.1061,0.5
EPIC 201512465,2.33293,12,0.22
EPIC 201516974,36.762337,0.03712,0.75
EPIC 201516974,36.7099,0.0489,
EPIC 201528215,6.3991398,0.01901,0.8
EPIC 201546136,1.9668579,0.01764,0.77
EPIC 201546283,6.77131,,0.88
EPIC 201546283,6.7714021,0.04922,0.81
EPIC 201549860,2.3996463,0.01855,0.67
EPIC 201549860,5.6089465,0.02772,0.67
EPIC 201549860,5.6084,,0.69
EPIC 201556134,12.726743,0.02141,0.73
EPIC 201563164,0.18746328,0.1236,17.27
EPIC 201565013,8.63829,14.08,0.44
EPIC 201565013,8.6382631,0.162,0.5
EPIC 201565013,8.6381,,0.5
EPIC 201569483,5.7968861,0.3232,0.72
EPIC 201577035,19.307107,0.03726,0.86
EPIC 201577112,22.197992,0.112,0.4
EPIC 201588420,3.2908998,0.01804,0.72
EPIC 201596316,39.863566,0.02625,0.78
EPIC 201596733,2.8964139,0.04958,0.42
EPIC 201606542,0.444372,0.0136,0.82
EPIC 201606542,0.44433632,0.01068,0.8
EPIC 201613023,8.2824161,0.01927,0.92
EPIC 201617985,7.28161,,0.49
EPIC 201617985,7.28131,0.03172,0.51
EPIC 201617985,7.28138,41,0.4
EPIC 201626686,5.28081,3.28,3.01
EPIC 201629650,40.0603,2.26,1.09
EPIC 201629650,40.062771,0.02138,0.88
EPIC 201635569,8.3688168,0.1142,0.56
EPIC 201637175,0.38107852,0.07119,0.57
EPIC 201637175,0.381087,0.0731,0.54
EPIC 201647718,31.646306,0.02791,0.73
EPIC 201649426,27.770388,0.3722,0.71
EPIC 201650711,0.259669,0.0102,0.69
EPIC 201650711,0.25967056,0.01095,0.59
EPIC 201677835,20.507693,0.03444,0.72
EPIC 201683540,1.9611469,0.08768,0.64
EPIC 201690311,2.7706297,0.04378,0.67
EPIC 201702477,40.7362,,0.85
EPIC 201702477,40.7302,7.19,0.98
EPIC 201713348,5.3408934,0.03457,0.74
EPIC 201713348,1.4226108,0.01782,0.74
EPIC 201717159,0.60408352,0.02829,0.67
EPIC 201717274,3.5269024,0.04037,0.67
EPIC 201717274,3.52743,3.89,0.26
EPIC 201736247,11.808398,0.03465,0.76
EPIC 201754305,19.07454,0.03269,0.71
EPIC 201754305,7.6196574,0.02796,0.71
EPIC 201779067,27.242912,0.2367,0.9
EPIC 201785059,1.3951513,0.02341,0.32
EPIC 201828749,33.5107,2.173,0.9
EPIC 201828749,33.515399,0.02561,0.65
EPIC 201828749,33.51569,,0.71
EPIC 201833600,8.7529874,0.03199,0.65
EPIC 201841433,12.339133,0.02881,0.73
EPIC 201855371,17.968216,0.02936,0.63
EPIC 201862715,2.6556852,0.1092,0.8
EPIC 201862715,2.6556817,11.478,0.88
EPIC 201912552,32.947328,0.05389,0.36
EPIC 201920032,28.2692,2.36,1.29
EPIC 201920032,28.270642,0.02688,0.9
EPIC 201920032,28.2717,0.0264,
EPIC 201923289,0.78214992,0.01346,0.79
EPIC 201927336,6.4498648,0.0257,0.85
EPIC 202059377,1.5771832,0.2491,1.94
EPIC 202064253,21.140574,0.2499,1.29
EPIC 202066192,3.2923818,0.1053,1.87
EPIC 202066537,6.90487,34,1.45
EPIC 202066537,6.9055211,0.1906,1.89
EPIC 202071289,3.0459383,0.1997,0.89
EPIC 202071289,3.04622,30,0.89
EPIC 202071401,3.2367,1.96,0.74
EPIC 202071401,3.238542,0.02037,0.69
EPIC 202071635,6.2719092,0.3733,1.81
EPIC 202072596,3.979287,0.2167,1.84
EPIC 202072965,2.1417519,0.5571,1.59
EPIC 202083828,14.567025,0.04567,0.51
EPIC 202086291,2.4343734,0.6393,0.9
EPIC 202086968,1.8490876,0.2448,0.96
EPIC 202088212,2.62077,40,1.4
EPIC 202088212,2.620724,0.1095,1.14
EPIC 202089657,1.3144014,0.01995,1.23
EPIC 202090152,4.8045244,0.02388,1.28
EPIC 202091388,6.4804111,0.03274,0.89
EPIC 202092480,2.8445331,0.5768,1.16
EPIC 202093020,4.1376047,0.0959,0.7
EPIC 202094740,0.689647,0.0558,1.08
EPIC 202126847,4.1687922,0.1802,1.14
EPIC 202126849,3.7999139,0.1567,0.64
EPIC 202126852,2.790963,8.41,1.88
EPIC 202126852,2.7908821,0.1021,1.8
EPIC 202126887,12.866539,0.1905,1.18
EPIC 202126888,1.8461222,0.09427,1.82
EPIC 202565282,11.975818,0.2915,0.28
EPIC 202565282,11.97495,76,3.4
EPIC 202634963,28.707623,0.2136,1.03
EPIC 202675839,15.4715,4.4,1.89
EPIC 202675839,15.465691,0.04849,0.76
EPIC 202710713,3.3262396,0.03846,0.33
EPIC 202821899,4.4743465,0.03229,0.81
EPIC 202843107,2.1989041,0.6032,0.75
EPIC 202893157,4.1657292,0.05024,0.36
EPIC 202900527,13.008278,0.1015,0.71
EPIC 203070421,1.7359447,0.02551,0.84
EPIC 203099398,1.8389349,0.01201,0.58
EPIC 203294831,1.8590179,0.2654,1.33
EPIC 203294831,1.859017,28.3,2.03
EPIC 203518244,0.8411257,0.01098,0.66
EPIC 203533312,0.17566,0.0248,1.15
EPIC 203710387,1.4044283,0.3227,0.12
EPIC 203753577,3.4007758,0.06863,0.89
EPIC 203771098,20.885075,0.04548,0.77
EPIC 203771098,42.363493,0.0626,0.77
EPIC 203776696,3.5353975,0.07463,0.23
EPIC 203823381,8.2766395,0.06088,0.11
EPIC 203826436,4.4436649,0.01694,0.72
EPIC 203826436,14.090907,0.02619,0.72
EPIC 203826436,6.4295023,0.02925,0.72
EPIC 203867512,28.465633,0.1642,0.96
EPIC 203929178,1.153886,53,1.8
EPIC 203942067,1.6398934,0.4392,0.79
EPIC 204057095,23.210585,0.06981,0.81
EPIC 204129699,1.2578493,0.09261,0.81
EPIC 204312847,24.193613,0.3778,0.87
EPIC 204489514,10.2236,61,2.04
EPIC 204576757,23.277669,0.4569,0.68
EPIC 204649811,2.6454165,0.1375,0.79
EPIC 204750116,23.446501,0.02578,0.87
EPIC 204884005,46.40651,0.03779,0.73
EPIC 204888276,16.563155,0.02876,0.48
EPIC 204890128,12.207632,0.0283,0.72
EPIC 204914585,18.357773,0.01924,0.75
EPIC 205029914,4.9818921,0.02159,1.04
EPIC 205029914,4.98205,2.06,1.01
EPIC 205040048,3.3055191,0.03401,0.35
EPIC 205064326,8.0241306,0.08498,0.58
EPIC 205071984,31.715868,0.04201,0.72
EPIC 205071984,20.660987,0.03769,0.72
EPIC 205071984,8.9919156,0.05639,0.72
EPIC 205084841,11.31009,11.9,10
EPIC 205111664,15.937378,0.02135,0.7
EPIC 205117205,5.4252061,0.04747,0.16
EPIC 205145448,16.63311,18.61,2.19
EPIC 205145448,16.63237,0.1887,0.47
EPIC 205148699,4.3772986,0.1744,0.78
EPIC 205152172,0.98036126,0.02071,0.58
EPIC 205152172,0.980414,0.0219,0.66
EPIC 205242733,2.4165066,0.02173,0.38
EPIC 205252523,4.4984354,0.04131,0.66
EPIC 205463986,2.3240489,0.4699,0.78
EPIC 205489894,14.658196,0.03059,0.45
EPIC 205570849,16.858,4.7,1.07
EPIC 205686202,13.15628,7.82,0.38
EPIC 205686202,13.156974,0.08041,0.54
EPIC 205703094,8.1191,45,1.2
EPIC 205703094,16.235,8.6,1.2
EPIC 205904628,9.975403,0.01516,1.18
EPIC 205924614,2.8493,0.0574,
EPIC 205924614,2.8492818,0.05814,0.65
EPIC 205944181,2.4756313,0.02869,0.81
EPIC 205944181,2.475527,38,1.06
EPIC 205947161,17.725837,0.06395,1.11
EPIC 205947161,17.72507,31,1.33
EPIC 205947214,54.169832,0.4052,0.55
EPIC 205950854,15.85412,0.02208,0.88
EPIC 205957328,14.353347,0.02383,0.79
EPIC 205976958,2.3181466,0.03644,0.67
EPIC 205990339,19.441899,0.3792,0.11
EPIC 205996447,0.80032756,0.3618,0.61
EPIC 205999468,12.2631,2.38,0.72
EPIC 205999468,12.263354,0.026,0.76
EPIC 206007892,6.37961,0.01388,0.83
EPIC 206008091,7.5767206,0.01287,0.98
EPIC 206008091,12.400731,0.01629,0.98
EPIC 206011496,2.3690438,0.01662,0.81
EPIC 206011496,2.369193,1.636,0.91
EPIC 206011691,15.504102,0.03099,0.6
EPIC 206011691,9.3251498,0.02673,0.6
EPIC 206024342,0.9116567,0.01593,0.94
EPIC 206024342,14.637,2.49,1.5
EPIC 206024342,14.641541,0.03369,0.94
EPIC 206026136,9.007156,0.03054,0.68
EPIC 206026904,22.881145,0.02049,0.76
EPIC 206026904,7.0525273,0.02945,0.76
EPIC 206026904,2.5370422,0.01776,0.76
EPIC 206027655,11.295158,0.03468,0.73
EPIC 206027655,20.698453,0.03279,0.73
EPIC 206028176,9.3826,1.58,1.38
EPIC 206028176,9.3813402,0.01745,1.39
EPIC 206029450,4.2304959,0.03081,0.67
EPIC 206032309,4.1107634,0.04665,0.18
EPIC 206036749,1.131316,3.13,1.32
EPIC 206038483,3.0026376,0.0624,0.86
EPIC 206038483,3.0026,0.0696,
EPIC 206042996,0.35490972,0.02145,0.57
EPIC 206044803,2.5735352,0.01706,0.95
EPIC 206049452,14.454495,0.02923,0.7
EPIC 206049764,5.6315915,0.01372,0.77
EPIC 206055981,20.643928,0.03129,0.68
EPIC 206056433,28.564994,0.02852,0.68
EPIC 206061524,5.8797,0.0982,
EPIC 206061524,5.8796123,0.08963,0.62
EPIC 206061524,5.87975,8.73,0.39
EPIC 206082454,29.626402,0.03282,0.86
EPIC 206082454,14.317001,0.01714,0.86
EPIC 206082454,29.626,0.0348,
EPIC 206096602,6.6717686,0.02587,0.69
EPIC 206096602,16.197189,0.02472,0.69
EPIC 206101302,25.457815,0.02641,0.95
EPIC 206101302,20.258209,0.01824,0.95
EPIC 206101302,25.4556,2.19,1.63
EPIC 206103150,0.78961301,0.01444,0.86
EPIC 206103150,9.0305419,0.03102,0.86
EPIC 206103150,4.1591739,0.1032,0.86
EPIC 206103150,0.789693,0.0143,1.15
EPIC 206114294,3.2920598,0.0772,0.52
