name,Vis_ST
203485624,F2III
203776696,F8IIII
205064326,K0III
206049452,M2III
210483889,G8III
210769880,K2III
210843708,K3III
210852232,G5III
211098117,K0III
211106187,G5III
211351816,K2III
212443457,K0III
212473154,K0III
212586030,K1III
212644491,K1III
212786391,G5III
214629283,M3III
214799621,K4III
215030652,M0III
215090200,K1V
215174656,K7III
215346008,K4III
218006248,M2III
