,EPIC,Planet,Campaign,P,Rp/Rstar,Rstar,Rp_J,Rp_E,Probs,Mass,T_e
32,201635569,201635569,1,8.36926,0.1066,0.583346918,0.624972678,6.778445531,0.039555199,0.613839871,3891
33,201637175,201637175,1,15.1871,0.071,0.563388071,0.402015609,4.360256057,0.025964502,0.593734737,3846
34,201690311,201690311,1,2.77065,0.0383,0.687519097,0.264643029,2.870314851,0.09259378,0.714833244,4241
35,201717274,201717274,1,3.52743,0.0389,0.26,0.101648241,1.102475501,0.042471318,0.247158314,3624
36,201754305,201754305,1,19.077,0.0299,0.69036871,0.207457532,2.250081691,0.025657726,0.717509817,4430
37,201754305,201754305,1,7.61856,0.0268,0.69036871,0.184240352,1.998268457,0.047312543,0.717509817,4430
38,201833600,201833600,1,8.7529,0.0264,0.684026679,0.181490496,1.968443555,0.042853892,0.71154701,4217
39,205145448,205145448,2,16.63311,0.1861,0.455475064,0.851898587,9.239680987,0.021205459,0.480134711,3628
40,205686202,205686202,2,13.15628,0.0782,0.505729522,0.397467825,4.31093086,0.026568634,0.534121719,3726
41,205916793,205916793,3,9.7843,0.0272,0.694198478,0.18977084,2.058252063,0.040199286,0.721100263,4378
42,206011691,206011691,3,9.32389,0.0246,0.612692138,0.151479664,1.642946467,0.03806631,0.64293865,3963
43,206011691,206011691,3,15.50116,0.0302,0.612692138,0.18596284,2.016950541,0.027124562,0.64293865,3963
44,206026136,206026136,3,9.0063,0.0308,0.691267038,0.213980148,2.320825905,0.042356696,0.718352703,4275
45,206061524,206061524,3,5.87975,0.0873,0.63134124,0.553930555,6.007923593,0.052845701,0.661157588,4014
46,206114294,206114284,3,3.291897,0.0777,0.540294414,0.421918351,4.576120948,0.069945379,0.570139438,3797
47,206209135,206209135,3,7.7599,0.0286,0.365166526,0.104962439,1.138421243,0.030619302,0.377601749,3457
48,206209135,206209135,3,5.57739,0.0295,0.365166526,0.108265452,1.174245688,0.038160321,0.377601749,3457
49,206209135,206209135.1,3,24.1669,0.032,0.365166526,0.117440491,1.273758034,0.014357717,0.377601749,3457
50,210448987,210448987,4,6.10224,0.0261,0.673711936,0.176722427,1.916729148,0.053929872,0.701802993,4162
51,210508766,210508766,4,2.74697,0.0268,0.562181773,0.151421824,1.642319135,0.081064064,0.592511185,3843
52,210508766,210508766,4,9.99767,0.0319,0.562181773,0.180237171,1.954850016,0.034260875,0.592511185,3843
53,210625740,210625740,4,2.38669,0.11,0.29,0.320603015,3.477256129,0.058561425,0.28577635,3676
54,210659688,210659688,4,2.35771,0.104,0.32563774,0.340365075,3.691595173,0.063182503,0.330135455,3381
55,210707130,210707130,4,0.684533,0.0179,0.67840969,0.122045562,1.32370458,0.232985982,0.706247935,4185
56,210731500,210731500,4,9.72739,0.0441,0.62288339,0.276071935,2.99427261,0.037429052,0.652920533,3990
57,210750726,210750726,4,4.6122,0.0436,0.399080795,0.174873595,1.896676731,0.045795851,0.417010553,3521
58,210838726,210838726,4,1.096026,0.0176,0.470702565,0.083259951,0.903036347,0.132816642,0.496706352,3657
59,211077024,211077024,4,1.419549,0.0352,0.282583779,0.099969337,1.084266127,0.08159255,0.276343093,3294
