201160323,11 42 51.493,-05 02 55.54,1,18.238,,,,11425149-0502555,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,16.123,0.085,15.259,0.092,15.306,0.166,4064,4.827,-0.248,0.432,0.492,5.419,868.7,0.032
201161008,11 36 07.434,-05 01 56.97,1,19.002,,,,,5973-301-3-0039-0181,EXTENDED,gri,,,,,,,,,,,22.378,0.308,20.275,0.025,18.851,0.012,18.457,0.011,18.203,0.029,,,,,,,,,,,,,,
201161236,11 31 38.345,-05 01 38.85,1,18.946,,,,11313834-0501388,5973-301-5-0035-0400,STAR,gri,-90,5,-37,5,,,,,,,24.084,0.669,21.292,0.042,19.761,0.018,17.941,0.008,16.954,0.01,15.35,0.05,14.722,0.068,14.432,0.088,2939,5.215,0.022,0.139,0.116,42.92,117.2,0.021
201161951,11 30 51.633,-05 00 38.49,1,18.783,,,,11305163-0500384,5976-301-5-0146-0333,STAR,gri,-44,4,5,4,,,,,,,23.433,0.329,20.732,0.023,19.351,0.012,17.947,0.008,17.201,0.011,15.786,0.064,15.329,0.089,15.293,0.165,3191,5.152,0.073,0.166,0.142,31.22,187.1,0.019
201162814,11 39 05.320,-04 59 20.84,1,18.335,,,,11390532-0459208,5976-301-1-0153-0223,STAR,gri,-77,3,4,3,,,,,,,23.134,0.292,20.079,0.016,18.625,0.009,17.587,0.007,16.994,0.01,15.856,0.074,15.056,0.074,14.833,0.115,3425,5.064,0.085,0.215,0.197,19.37,289,0.022
201164894,11 32 05.625,-04 56 27.41,1,18.771,,,,11320562-0456274,5973-301-5-0036-0292,STAR,gri,14,3,-59,3,,,,,,,23.524,0.473,20.867,0.03,19.398,0.014,17.873,0.007,17.053,0.01,15.685,0.061,14.912,0.075,14.627,0.104,3110,5.178,0.005,0.155,0.133,35.36,168.7,0.016
201165085,11 31 08.246,-04 56 11.86,1,18.213,,,,11310824-0456118,5976-301-5-0146-0401,STAR,gri,165,4,-178,4,,,,,,,23.755,0.415,20.847,0.025,19.166,0.011,17.084,0.006,15.899,0.007,14.177,0.029,13.558,0.029,13.232,0.031,2759,5.25,-0.186,0.122,0.097,52.77,60.91,0.011
201165363,11 40 41.966,-04 55 48.12,1,18.872,,,,11404196-0455481,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,16.431,0.103,15.741,0.099,15.507,0.2,3862,4.934,-0.27,0.317,0.36,8.519,706.1,0.03
201165957,11 32 50.689,-04 54 57.28,1,18.415,,,,11325068-0454572,5976-301-4-0148-0213,STAR,gri,-26,3,-40,3,,,,,,,21.199,0.075,19.258,0.01,18.397,0.008,18.054,0.008,17.886,0.017,16.683,0.17,16.212,0.16,,,,,,,,,,
201167714,11 32 11.057,-04 52 25.23,1,18.13,,,,11321105-0452252,5973-301-5-0036-0222,STAR,gri,38,3,-41,3,,,,,,,21.548,0.106,19.354,0.011,18.118,0.007,17.605,0.007,17.318,0.012,16.205,0.098,15.489,0.102,,,,,,,,,,
