,EPIC,Planet,Campaign,P,Rp/Rstar,Rstar,Rp_J,Rp_E,Probs,Mass
47,206061524,206061524.01,3,5.87975,0.0873,0.63134124,0.5539305553,6.007923593,0.0528457008665,0.661157588409
48,206114294,206114284.01,3,3.291897,0.0777,0.540294414,0.4219183514,4.576120948,0.069945379431,0.570139437523
49,206209135,206209135.01,3,7.7599,0.0286,0.365166526,0.1049624386,1.138421243,0.0306193018304,0.377601748658
50,206209135,206209135.02,3,5.57739,0.0295,0.365166526,0.1082654524,1.174245688,0.0381603214592,0.377601748658
51,206209135,206209135.05,3,24.1669,0.032,0.365166526,0.1174404908,1.273758034,0.0143577174878,0.377601748658
52,210448987,210448987.01,4,6.10224,0.0261,0.673711936,0.1767224274,1.916729148,0.0539298715764,0.701802993217
53,210508766,210508766.01,4,2.74697,0.0268,0.562181773,0.1514218243,1.642319135,0.0810640638102,0.592511185145
54,210508766,210508766.02,4,9.99767,0.0319,0.562181773,0.1802371714,1.954850016,0.0342608750302,0.592511185145
55,210625740,210625740.01,4,2.38669,0.11,0.29,0.3206030151,3.477256129,0.0585614246344,0.285776349854
56,210659688,210659688.01,4,2.35771,0.104,0.32563774,0.340365075,3.691595173,0.0631825027813,0.330135454592
57,210707130,210707130.01,4,0.684533,0.0179,0.67840969,0.1220455623,1.32370458,0.23298598203,0.706247935367
58,210731500,210731500.01,4,9.72739,0.0441,0.62288339,0.2760719347,2.99427261,0.0374290520741,0.652920532678
59,210750726,210750726.01,4,4.6122,0.0436,0.399080795,0.1748735946,1.896676731,0.0457958507994,0.417010553339
60,210838726,210838726.01,4,1.096026,0.0176,0.470702565,0.0832599512,0.903036347,0.132816641849,0.496706351724
61,211077024,211077024.01,4,1.419549,0.0352,0.282583779,0.09996933689,1.084266127,0.0815925496631,0.276343093126
