EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
201136194,11 42 30.482,-05 37 58.07,1,9.716,,4937-970-1,422-054536,11423047-0537580,,STAR,gri,rav,-10.9,1.7,-3,1.8,,,11.249,0.104,10.243,0.06,,,10.812,0.04,9.691,0.04,9.246,0.01,,,7.738,0.021,7.087,0.051,6.892,0.027,,,,,,,,,4233,102,102,1.544,0.115,0.138,-0.384,0.15,0.15,27.852,5.403,3.313,1.02,0.138,0.061,4.47E-05,2.07E-05,1.64E-05,1170,167.2,146.3,0.033,0.017,0.014,,,
201143243,11 47 31.812,-05 27 31.32,1,9.81,,4937-881-1,423-056842,11473181-0527311,,STAR,gri,rav,46.4,1.3,-44.8,1.4,,,10.064,0.025,9.584,0.022,,,10.767,0.03,9.619,0.04,9.399,0.02,,,8.702,0.03,8.509,0.063,8.426,0.023,,,,,,,,,6550,131,158,4.256,0.065,0.104,-0.098,0.1,0.14,1.358,0.202,0.128,1.265,0.095,0.095,0.463,0.127,0.149,155.4,24.84,15.62,0.024,0.013,0.01,,,
201146022,11 40 33.025,-05 23 22.60,1,9.956,,4937-938-1,424-055294,11403302-0523226,,STAR,gri,rav,-23.4,1.8,-17.3,1.9,,,10.331,0.039,10.038,0.041,,,10.154,0.06,9.89,0.04,9.863,0.02,,,9.221,0.024,9.064,0.022,8.97,0.023,,,,,,,,,6434,154,154,3.96,0.13,0.13,-0.079,0.1,0.14,1.927,0.49,0.331,1.407,0.16,0.16,0.173,0.108,0.076,285.5,74.59,50.21,0.028,0.016,0.009,,,
201147711,11 46 21.088,-05 20 56.01,1,8.926,57422,4937-969-1,424-055442,11462110-0520560,,STAR,gri,plx,-57.29,1.57,6.56,0.76,5.26,1.83,8.879,0.018,8.54,0.014,,,10.085,0.26,9.257,0.26,8.429,0.04,,,7.841,0.029,7.661,0.033,7.596,0.026,,,,,,,,,6420,307,256,3.88,0.204,0.17,0.029,0.1,0.12,2.193,0.779,0.491,1.539,0.19,0.19,0.123,0.109,0.066,190.1,66.14,66.14,0.025,0.014,0.01,,,
201150552,11 32 53.983,-05 16 57.90,1,9.225,,4936-194-1,424-055096,11325397-0516579,,STAR,gri,rpm,-24,1.3,5.2,1.4,,,10.673,0.079,9.636,0.042,,,10.056,0.03,9.158,0.04,8.869,0.02,,,7.593,0.024,7.057,0.027,6.878,0.026,,,,,,,,,4687,75,56,2.473,0.19,0.114,-0.107,0.15,0.15,11.256,0.585,1.587,1.323,0.405,0.225,9.31E-04,6.87E-04,1.92E-04,503.8,32.32,47.7,0.033,0.014,0.012,,,
201151359,11 47 31.462,-05 15 49.03,1,8.566,57536,4937-1052-1,424-055472,11473146-0515490,,STAR,gri,plx,-26.41,0.77,-38.7,0.38,9.19,0.9,8.785,0.017,7.952,0.011,,,10.065,0.18,9.036,0.12,7.924,0.06,,,6.508,0.019,6.145,0.044,5.999,0.027,,,,,,,,,5052,443,100,3.488,0.145,0.145,-0.197,0.25,0.4,3.29,0.54,0.464,1.294,0.229,0.344,0.033,0.02,0.011,108.8,10.66,10.66,0.017,0.01,0.005,,,
201153232,11 44 22.013,-05 13 06.70,1,9.837,,4937-1106-1,424-055388,11442201-0513066,,STAR,gri,rav,-52,1.4,8.6,1.5,,,10.337,0.049,9.764,0.04,,,10.037,0.05,9.77,0.09,9.426,0.03,,,8.677,0.029,8.412,0.046,8.349,0.023,,,,,,,,,6054,145,121,4.272,0.1,0.16,0.02,0.1,0.1,1.275,0.281,0.149,1.143,0.098,0.082,0.512,0.211,0.217,135.1,28.83,17.43,0.021,0.013,0.008,,,
201159953,11 35 56.560,-05 03 27.79,1,9.477,,4936-29-1,425-055600,11355656-0503276,,STAR,gri,rav,-26.4,1.3,-4.3,1.4,,,10.198,0.039,9.698,0.035,,,9.855,0.09,9.42,0.04,9.315,0.04,,,8.578,0.029,8.385,0.051,8.297,0.023,,,,,,,,,6150,147,122,3.956,0.156,0.13,-0.036,0.1,0.12,1.905,0.423,0.346,1.32,0.158,0.158,0.168,0.108,0.066,196.3,44.1,42.38,0.025,0.013,0.009,,,
201162929,11 47 50.590,-04 59 10.47,1,9.897,,4934-742-1,426-055698,11475058-0459104,,STAR,gri,rpm,4.8,1.6,-16.3,1.7,,,11.102,0.061,10.034,0.032,,,10.741,0.26,9.886,0.05,9.536,0.09,,,8.302,0.02,7.769,0.055,7.643,0.026,,,,,,,,,4720,142,142,2.422,0.33,0.15,-0.206,0.25,0.4,10.861,1.713,2.953,1.174,0.304,0.217,8.99E-04,0.002,3.32E-04,683.4,85.16,155.6,0.032,0.015,0.013,,,
201162999,11 39 39.797,-04 59 04.08,1,8.819,56884,4933-553-1,426-055499,11393980-0459041,,STAR,gri,plx,-54.32,1.17,-13.75,0.95,16.94,1.22,9.451,0.028,8.813,0.02,,,9.499,0.14,8.964,0.19,8.527,0.05,,,7.64,0.03,7.363,0.042,7.226,0.017,,,,,,,,,5735,168,135,4.461,0.035,0.049,-0.064,0.15,0.21,0.958,0.067,0.045,0.996,0.051,0.081,1.099,0.148,0.155,59.03,4.251,4.251,0.013,0.005,0.006,,,
201163267,11 43 18.917,-04 58 42.07,1,9.659,,4934-754-1,426-055587,11431890-0458420,,STAR,gri,rpm,-0.6,1.6,-1.9,1.7,,,10.814,0.075,10.039,0.051,,,10.368,0.02,9.773,0.14,9.355,0.06,,,8.23,0.018,7.744,0.04,7.637,0.016,,,,,,,,,4918,120,120,2.447,0.45,0.09,-0.424,0.32,0.2,10.432,0.808,3.597,1.084,0.657,0.126,9.82E-04,0.003,2.16E-04,650.8,43.34,208.8,0.029,0.016,0.009,,,
201164031,11 39 55.945,-04 57 38.93,1,8.569,56907,4933-546-1,426-055508,11395595-0457389,,STAR,gri,plx,-53.19,0.75,-201.57,0.72,15.97,0.85,9.306,0.024,8.595,0.018,,,9.338,0.15,8.815,0.22,8.239,0.09,,,7.294,0.024,7.007,0.024,6.909,0.024,,,,,,,,,5987,142,118,4.355,0.05,0.07,-0.035,0.15,0.24,1.12,0.073,0.058,1.07,0.067,0.094,0.716,0.125,0.126,62.62,3.333,3.333,0.012,0.006,0.005,,,
201164295,11 34 45.299,-04 57 15.92,1,8.432,56479,4933-1369-1,426-055364,11344529-0457159,,STAR,gri,plx,2.07,0.67,-0.13,0.86,5.05,0.75,7.926,0.017,7.884,0.013,,,9.416,0.03,8.744,0.04,8.011,0.05,,,7.795,0.023,7.792,0.04,7.823,0.023,,,,,,,,,8510,781,781,4.109,0.085,0.119,-0.011,0.12,0.1,2.03,0.357,0.196,1.999,0.242,0.173,0.225,0.072,0.08,198,29.41,29.41,0.024,0.013,0.008,,,
201170396,11 44 04.086,-04 48 26.10,1,8.159,57232,4934-1281-1,426-055604,11440409-0448260,,STAR,gri,plx,-49.86,0.71,-35.33,0.66,7.37,0.81,7.968,0.017,7.54,0.012,,,9.272,0.06,8.755,0.11,7.682,0.14,,,6.699,0.027,6.527,0.036,6.437,0.017,,,,,,,,,6402,193,193,3.699,0.084,0.06,0.064,0.12,0.12,3.053,0.233,0.299,1.761,0.093,0.111,0.061,0.019,0.013,135.7,14.91,14.91,0.024,0.012,0.01,,,
201171432,11 33 51.982,-04 46 57.27,1,8.286,,4933-599-1,427-053673,11335198-0446573,,STAR,gri,rpm,-4,1.3,-6.5,1.3,,,10.557,0.072,8.932,0.023,,,10.008,0.03,8.802,0.07,7.548,0.02,,,5.849,0.021,5.077,0.04,4.778,0.02,,,,,,,,,3537,35,35,0.781,0.02,0.495,0.215,0.06,0.56,81.927,42.59,1.639,1.466,0.029,0.43,2.69E-06,1.61E-07,2.12E-06,1099,537,32.97,0.022,0.014,0.002,,,
201172543,11 35 51.522,-04 45 20.49,1,8.416,56572,4933-678-1,427-053715,11355152-0445204,,STAR,gri,plx,-12.49,0.89,35.42,0.8,20.16,0.95,9.195,0.023,8.418,0.016,,,9.423,0.18,8.679,0.2,7.985,0.09,,,7.152,0.02,6.804,0.031,6.735,0.026,,,,,,,,,5733,113,113,4.454,0.03,0.042,-0.013,0.12,0.18,0.977,0.047,0.038,1.004,0.051,0.061,1.053,0.102,0.144,49.6,2.337,2.337,0.009,0.007,0.003,,,
201173711,11 18 51.412,-04 43 37.24,1,9.539,,4925-1462-1,427-053330,11185141-0443371,,STAR,gri,rpm,-24.1,1.3,-15.3,1.3,,,10.099,0.038,9.578,0.033,,,10.085,0.07,9.482,0.02,9.305,0.03,,,8.52,0.023,8.26,0.051,8.176,0.023,,,,,,,,,5609,229,275,3.75,0.545,1.308,-0.081,0.16,0.88,2.066,5.646,0.997,1.08,0.27,0.18,0.088,0.52,0.087,193.4,438.3,86.4,0.028,0.012,0.014,,,
201175045,11 23 40.642,-04 41 46.99,1,9.761,,4926-957-1,427-053437,11234064-0441470,,STAR,gri,rav,-52.9,1.8,-15.2,1.9,,,10.568,0.047,10.025,0.039,,,10.17,0.17,9.693,0.02,9.586,0.04,,,8.809,0.02,8.552,0.042,8.529,0.023,,,,,,,,,5922,140,176,3.896,0.14,0.1,-0.018,0.1,0.12,1.973,0.383,0.32,1.248,0.2,0.125,0.143,0.092,0.048,213.8,51.42,35.15,0.026,0.014,0.009,,,
201175075,11 46 44.224,-04 41 44.12,1,8.822,57462,4934-1098-1,427-053941,11464422-0441440,,STAR,gri,plx,-30.87,0.79,-26.19,0.42,7.27,0.8,8.915,0.018,8.506,0.014,,,9.781,0.31,9.189,0.17,8.41,0.03,,,7.752,0.039,7.538,0.046,7.5,0.029,,,,,,,,,6133,303,303,3.965,0.1,0.12,-0.026,0.15,0.21,1.939,0.281,0.207,1.328,0.13,0.173,0.168,0.067,0.055,137.6,15.14,15.14,0.023,0.013,0.01,,,
201175402,11 33 31.954,-04 41 16.40,1,9.786,,4933-720-1,427-053665,11333195-0441163,,STAR,gri,rpm,6.4,2,-19.2,2.2,,,11.461,0.126,10.309,0.065,,,10.606,0.01,9.763,0.01,9.435,0.03,,,8.18,0.021,7.652,0.044,7.491,0.024,,,,,,,,,4728,75,75,2.397,0.23,0.368,-0.296,0.15,0.51,10.483,3.305,2.513,1.089,0.2,0.2,7.89E-04,9.77E-04,5.34E-04,645.9,263.9,124.5,0.033,0.016,0.013,,,
201182789,11 44 41.539,-04 30 39.03,1,7.72,57275,4934-1163-1,428-055219,11444155-0430388,,STAR,BV,plx,-28.75,1.59,-39.22,0.93,10.98,1.15,8.189,0.018,7.762,0.013,,,,,,,,,,,6.828,0.027,6.707,0.042,6.579,0.023,,,,,,,,,7016,571,357,4.146,0.075,0.105,0.023,0.12,0.12,1.729,0.225,0.145,1.54,0.107,0.107,0.285,0.086,0.088,91.07,9.539,9.539,0.018,0.01,0.006,,,
201182852,11 15 42.246,-04 30 32.83,1,9.397,,4925-1147-1,428-054508,11154224-0430328,,STAR,gri,rpm,-8.8,1.3,-2,1.3,,,10.624,0.057,9.571,0.03,,,10.224,0.11,9.361,0.06,9.042,0.05,,,7.864,0.023,7.373,0.046,7.268,0.021,,,,,,,,,4767,96,115,2.46,0.32,0.1,-0.178,0.2,0.28,10.906,0.975,1.976,1.261,0.59,0.268,9.85E-04,0.002,2.68E-04,560.6,50.14,81.48,0.032,0.016,0.013,,,
201183255,11 16 04.737,-04 29 59.06,1,9.859,,4925-1296-1,428-054514,11160474-0429589,,STAR,gri,rpm,-1,1.8,-0.7,1.9,,,11.226,0.093,10.155,0.049,,,10.707,0.03,9.784,0.04,9.495,0.01,,,8.259,0.032,7.757,0.082,7.57,0.034,,,,,,,,,4666,93,74,2.452,0.189,0.135,-0.099,0.15,0.24,11.27,1.23,1.722,1.296,0.324,0.231,9.46E-04,7.17E-04,3.14E-04,681.1,81.35,86.24,0.035,0.014,0.014,,,
201185259,11 29 14.491,-04 27 05.97,1,7.357,56049,4926-396-1,428-054853,11291448-0427059,,STAR,BV,plx,24.24,0.5,-89.31,0.51,17.36,0.67,7.979,0.017,7.441,0.013,,,,,,,,,,,6.441,0.021,6.239,0.049,6.136,0.026,,,,,,,,,6499,258,309,4.235,0.06,0.084,-0.002,0.12,0.18,1.435,0.078,0.088,1.3,0.063,0.136,0.435,0.1,0.093,57.6,2.223,2.223,0.012,0.005,0.004,,,
201185394,11 24 27.440,-04 26 54.35,1,9.081,,4926-586-1,428-054738,11242743-0426542,,STAR,gri,rpm,1.6,1.4,-8.9,1.4,,,10.363,0.043,9.357,0.023,,,9.924,0.21,9.16,0.18,8.72,0.06,,,7.581,0.024,7.075,0.027,6.981,0.026,,,,,,,,,4802,95,114,2.488,0.276,0.138,-0.167,0.2,0.28,10.872,0.778,1.403,1.358,0.585,0.325,0.001,0.001,2.81E-04,500.6,37.04,47.6,0.029,0.016,0.009,,,
201188042,11 24 31.233,-04 23 03.39,1,9.889,,4926-1100-1,429-052938,11243124-0423034,,STAR,BV,rav,-46.2,1.7,-24.4,1.7,,,10.539,0.044,9.981,0.037,,,,,,,,,,,8.721,0.021,8.489,0.044,8.415,0.023,,,,,,,,,5311,170,106,4.604,0.02,0.044,-0.606,0.15,0.15,0.7,0.06,0.028,0.726,0.05,0.036,2.055,0.209,0.334,64.25,8.306,3.454,0.013,0.005,0.004,,,
201188056,11 24 30.654,-04 23 02.32,1,9.294,,,429-052937,11243065-0423023,,STAR,gri,rav,-43.8,3.4,-27.7,4,,,9.98,0.02,9.452,0.06,,,9.661,0.03,9.239,0.04,9.138,0.01,,,9.046,0.023,8.794,0.04,8.772,0.026,,,,,,,,,5737,169,169,3.902,0.133,0.095,-0.054,0.12,0.15,1.961,0.317,0.322,1.149,0.128,0.106,0.146,0.095,0.044,227.9,36.8,37.47,0.028,0.016,0.011,,,
201188204,11 21 10.872,-04 22 48.68,1,9.317,,4926-1145-1,429-052845,11211087-0422487,,STAR,gri,rav,-5.1,1.2,-38.8,1.3,,,9.747,0.035,9.271,0.029,,,9.967,0.03,9.17,0.04,9.039,0.01,,,8.278,0.03,8.065,0.031,8.017,0.023,,,,,,,,,6233,150,150,4.004,0.168,0.14,0.011,0.1,0.12,1.833,0.427,0.347,1.35,0.143,0.143,0.205,0.14,0.095,164.4,38.79,31.38,0.024,0.013,0.008,,,
201193926,11 28 15.587,-04 14 40.48,1,9.924,,4926-961-1,429-053026,11281560-0414404,,STAR,gri,rav,-7.2,2,8.9,2,,,11.313,0.111,10.083,0.053,,,10.64,0.05,9.822,0.06,9.617,0.14,,,8.236,0.024,7.719,0.04,7.586,0.026,,,,,,,,,4557,89,107,2.393,0.15,0.125,-0.115,0.12,0.12,11.246,1.997,1.696,1.199,0.163,0.136,7.75E-04,5.35E-04,2.75E-04,668.2,102.5,88.89,0.031,0.017,0.012,,,
201194808,11 23 14.687,-04 13 21.31,1,9.958,,4926-673-1,429-052908,11231467-0413212,,STAR,gri,rav,18.1,1.9,-42.8,2,,,10.421,0.038,9.97,0.036,,,10.214,0.07,9.912,0.03,9.849,0.04,,,9.161,0.034,8.936,0.023,8.891,0.019,,,,,,,,,6467,157,157,4.275,0.065,0.078,-0.06,0.1,0.12,1.33,0.16,0.12,1.249,0.076,0.076,0.51,0.139,0.128,186.3,26.42,19.5,0.026,0.012,0.01,,,
201197280,11 34 04.031,-04 09 57.78,1,9.063,56419,4933-1242-1,430-053880,11340402-0409577,,STAR,gri,plx,-36.05,0.83,20.61,0.97,7.72,1.32,9.567,0.027,9.015,0.023,,,9.847,0.05,9.078,0.1,8.727,0.04,,,7.999,0.018,7.73,0.049,7.687,0.026,,,,,,,,,5645,279,279,3.89,0.168,0.12,-0.044,0.2,0.28,1.95,0.397,0.279,1.151,0.133,0.133,0.135,0.093,0.048,129.5,22.15,22.15,0.025,0.014,0.011,,,
201198517,11 39 19.318,-04 08 14.16,1,8.401,56848,4933-1210-1,430-054015,11391931-0408141,,STAR,gri,plx,-14.2,0.95,-23.48,0.74,5.89,0.86,9.721,0.034,8.617,0.018,,,9.207,0.03,8.507,0.04,8.055,0.07,,,6.774,0.021,6.285,0.047,6.128,0.016,,,,,,,,,4911,59,59,3.005,0.21,0.147,-0.476,0.28,0.2,5.32,0.622,0.763,1.044,0.307,0.11,0.007,0.006,0.003,169.8,24.79,24.79,0.024,0.012,0.01,,,
201199000,11 36 06.380,-04 07 32.93,1,9.413,,4933-1194-1,430-053938,11360637-0407328,,STAR,gri,rpm,-17.1,1.5,-8.3,1.5,,,10.814,0.068,9.734,0.035,,,10.285,0.05,9.427,0.07,9.039,0.05,,,7.896,0.018,7.303,0.034,7.182,0.024,,,,,,,,,4653,92,92,2.417,0.192,0.384,-0.174,0.2,0.48,11.268,3.841,2.13,1.171,0.237,0.237,8.48E-04,7.75E-04,5.61E-04,573.4,196.5,96.46,0.031,0.018,0.01,,,
201202322,11 23 04.420,-04 02 59.20,1,9.241,,4926-1191-1,430-053613,11230443-0402591,,STAR,gri,rpm,-10.3,1.4,6.8,1.5,,,10.065,0.035,9.428,0.027,,,9.802,0.2,9.224,0.07,9.001,0.04,,,8.087,0.021,7.747,0.036,7.601,0.026,,,,,,,,,5460,221,221,2.7,1.162,0.498,-0.204,0.25,0.95,4.928,4.584,3.976,0.933,0.355,0.057,0.009,0.72,0.008,393.4,175.2,321.2,0.02,0.013,0.006,,,
201204571,11 21 01.482,-03 59 47.28,1,9.04,55426,4926-537-1,431-054763,11210148-0359473,,STAR,gri,plx,-40.22,1.53,18.01,1.04,4.6,1.35,9.087,0.023,8.795,0.021,,,9.81,0.03,9.039,0.04,8.71,0.06,,,8.162,0.02,8.019,0.033,7.969,0.02,,,,,,,,,6449,261,209,3.881,0.165,0.165,0.04,0.1,0.12,2.277,0.629,0.493,1.56,0.192,0.16,0.12,0.106,0.056,217.4,63.8,63.8,0.029,0.017,0.012,,,
201206850,11 16 44.622,-03 56 34.51,1,8.207,55090,4925-1287-1,431-054635,11164461-0356345,,STAR,BV,plx,-0.39,0.81,-4.83,0.57,4.49,0.78,8.347,0.018,8.159,0.014,,,,,,,,,,,7.671,0.023,7.607,0.034,7.548,0.024,,,,,,,,,7644,569,474,3.891,0.125,0.15,0.037,0.09,0.15,2.559,0.454,0.386,1.989,0.144,0.173,0.112,0.063,0.047,222.7,38.69,38.69,0.029,0.014,0.01,,,
201207184,11 16 18.685,-03 56 05.41,1,9.924,,4925-804-1,431-054621,11161867-0356054,,STAR,gri,rav,29,1.9,-47.3,2,,,10.57,0.053,9.994,0.044,,,10.364,0.03,9.811,0.04,9.735,0.03,,,8.843,0.023,8.601,0.044,8.517,0.024,,,,,,,,,5941,117,140,4.014,0.168,0.14,-0.01,0.12,0.12,1.684,0.369,0.303,1.154,0.169,0.094,0.209,0.18,0.085,186.2,38.18,37.35,0.026,0.013,0.009,,,
201209783,11 41 15.068,-03 52 23.46,1,9.51,,4934-1170-1,431-055213,11411507-0352235,,STAR,gri,rpm,-38.9,1,0,1.1,,,9.747,0.032,9.232,0.026,,,9.594,0.03,9.483,0.18,9.031,0.12,,,8.394,0.024,8.215,0.065,8.154,0.026,,,,,,,,,6573,348,348,4.1,0.17,0.238,0,0.12,0.12,1.743,0.702,0.374,1.435,0.199,0.199,0.245,0.211,0.142,175.4,68.95,42.34,0.024,0.011,0.008,,,
201209895,11 40 16.054,-03 52 15.03,1,9.487,,4934-1158-1,431-055191,11401604-0352150,,STAR,gri,rpm,-39.7,1.3,10.6,1.4,,,10.225,0.039,9.575,0.031,,,9.891,0.03,9.582,0.04,9.313,0.13,,,8.521,0.034,8.271,0.023,8.197,0.023,,,,,,,,,6278,188,151,4.107,0.175,0.245,-0.037,0.12,0.18,1.572,0.798,0.32,1.276,0.246,0.164,0.293,0.272,0.176,160.7,73.3,33.64,0.025,0.014,0.011,,,
201211673,11 40 30.468,-03 49 42.67,1,9.419,,4934-905-1,431-055194,11403046-0349426,,STAR,gri,rpm,-8.5,1.7,-6.1,1.7,,,11.145,0.093,9.712,0.036,,,10.371,0.04,9.611,0.12,9.011,0.13,,,7.732,0.021,7.13,0.024,6.982,0.02,,,,,,,,,4601,92,92,2.378,0.145,0.377,-0.127,0.2,0.48,11.793,4.804,1.606,1.237,0.288,0.288,7.08E-04,4.56E-04,5.04E-04,562.3,242.7,60.23,0.034,0.013,0.016,,,
201215315,11 46 40.676,-03 44 32.68,1,7.531,57456,4934-1280-1,432-054295,11464067-0344326,,STAR,BV,plx,18.84,0.6,-38.74,0.69,14.84,0.6,7.974,0.017,7.566,0.012,,,,,,,,,,,6.721,0.023,6.573,0.042,6.486,0.017,,,,,,,,,6610,373,207,4.252,0.04,0.064,0.004,0.12,0.15,1.429,0.081,0.064,1.353,0.056,0.079,0.444,0.066,0.078,67.39,2.724,2.724,0.012,0.006,0.004,,,
201216391,11 29 22.558,-03 43 23.73,1,9.616,,4926-749-1,432-053925,11292255-0343236,,STAR,gri,pmV,-3,1.1,-16.1,1.2,,,9.898,0.032,9.455,0.029,,,9.946,0.01,9.345,0.08,9.474,0.06,,,8.546,0.018,8.385,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201219733,11 40 50.249,-03 39 58.09,1,9.913,,4934-530-1,432-054165,11405025-0339581,,STAR,gri,rav,-69.3,1.3,24.1,1.4,,,10.592,0.052,9.997,0.042,,,10.329,0.11,9.868,0.03,9.735,0.07,,,8.899,0.024,8.641,0.018,8.556,0.026,,,,,,,,,6069,145,97,4.27,0.115,0.161,-0.175,0.15,0.15,1.223,0.261,0.158,1.064,0.107,0.089,0.537,0.257,0.227,143.8,34.09,20.27,0.022,0.013,0.008,,,
201224207,11 21 57.937,-03 35 45.03,1,9.578,,4926-384-1,433-055672,11215794-0335450,,STAR,gri,rav,-26.6,1.1,41.6,1.1,,,9.922,0.033,9.421,0.028,,,10.317,0.19,9.546,0.16,9.261,0.04,,,8.558,0.027,8.364,0.036,8.302,0.022,,,,,,,,,6424,154,154,4.295,0.055,0.066,0,0.08,0.1,1.298,0.136,0.103,1.253,0.076,0.063,0.545,0.125,0.12,136.8,17.69,13.18,0.021,0.011,0.007,,,
201224875,11 36 30.235,-03 35 10.04,1,9.296,,4933-1145-1,433-056027,11363023-0335099,,STAR,gri,rpm,-110.6,1.3,-3.4,1.3,,,10.322,0.045,9.463,0.029,,,10.079,0.03,9.544,0.08,8.96,0.07,,,8.046,0.027,7.598,0.026,7.518,0.02,,,,,,,,,5174,103,124,3.415,1.08,0.24,-0.742,0.56,0.28,2.916,0.949,2.095,0.895,0.071,0.027,0.032,1.318,0.018,198.2,50.97,141,0.019,0.02,0.007,,,
201227745,11 42 49.926,-03 32 42.45,1,8.435,57133,4934-1279-1,433-056177,11424993-0332425,,STAR,gri,plx,-86.51,0.77,-39.66,0.74,6.79,0.7,7.524,0.017,7.536,0.013,,,9.751,0.04,8.741,0.13,7.87,0.09,,,7.515,0.023,7.567,0.04,7.532,0.024,,,,,,,,,8601,543,543,4.19,0.035,0.077,-0.03,0.12,0.12,1.845,0.168,0.087,1.93,0.197,0.141,0.305,0.045,0.067,147.3,15.18,15.18,0.023,0.014,0.008,,,
201228539,11 32 07.216,-03 31 59.49,1,9.679,,4933-1388-1,433-055933,11320721-0331593,,STAR,BV,rpm,-13,1.3,-17,1.3,,,10.253,0.041,9.75,0.036,,,9.723,0.03,,,,,,,8.816,0.02,8.636,0.027,8.591,0.026,,,,,,,,,6627,212,212,4.037,0.195,0.234,0,0.12,0.12,1.781,0.861,0.389,1.458,0.239,0.17,0.203,0.202,0.126,224.5,100.7,52.23,0.026,0.014,0.01,,,
201230010,11 59 34.005,-03 30 42.36,1,9.635,,4935-908-1,433-056627,11593400-0330423,,STAR,BV,rpm,-7,1.5,-6.3,1.5,,,11.04,0.073,9.856,0.035,,,,,,,,,,,7.896,0.019,7.281,0.034,7.137,0.033,,,,,,,,,4536,136,109,2.351,0.156,0.52,-0.143,0.25,0.45,12.147,6.981,1.799,1.221,0.27,0.27,6.51E-04,4.49E-04,5.38E-04,624.8,352.7,86.6,0.032,0.017,0.012,,,
201230540,11 34 21.273,-03 30 12.88,1,9.768,,4933-1042-1,433-055978,11342126-0330128,,STAR,gri,rav,-40.6,1.1,12.3,1.1,,,10.171,0.037,9.71,0.032,,,10.225,0.2,9.666,0.05,9.572,0.19,,,8.826,0.02,8.612,0.047,8.525,0.02,,,,,,,,,6430,155,155,4.116,0.12,0.144,-0.054,0.12,0.12,1.6,0.358,0.248,1.318,0.132,0.11,0.288,0.199,0.118,188.4,49.99,29.15,0.027,0.013,0.011,,,
201232619,11 16 11.712,-03 28 19.10,1,7.59,55051,4925-1609-1,433-055538,11161170-0328191,,STAR,BV,plx,28.82,0.63,19.97,0.45,0.91,0.58,7.187,0.016,7.393,0.011,,,,,,,,,,,7.878,0.024,8.043,0.069,8.08,0.033,,,,,,,,,9956,893,1072,3.565,0.308,0.02,-0.051,0.14,0.1,4.95,0.099,1.61,3.154,0.158,0.355,0.027,0.053,0.002,1099,700.4,700.4,0.03,0.007,0.01,,,
201234533,11 55 15.795,-03 26 37.54,1,9.123,,4935-646-1,433-056495,11551579-0326375,,STAR,gri,rpm,-55.5,0.9,-23.1,0.9,,,9.468,0.023,8.936,0.017,,,10.153,0.27,9.207,0.26,8.681,0.04,,,7.906,0.019,7.652,0.044,7.589,0.033,,,,,,,,,6066,282,235,4.077,0.282,0.282,-0.042,0.12,0.18,1.496,0.816,0.4,1.199,0.245,0.153,0.286,0.385,0.183,114,55.26,31.99,0.02,0.011,0.008,,,
201238932,11 28 38.887,-03 22 38.38,1,9.254,56006,4926-301-1,434-055289,11283888-0322383,,STAR,BV,plx,-19.68,1.55,-7.29,1.04,4.13,1.79,9.287,0.024,9.177,0.024,,,,,,,,,,,8.96,0.023,8.995,0.024,8.936,0.025,,,,,,,,,8697,580,483,4.156,0.09,0.162,-0.044,0.12,0.15,1.937,0.486,0.269,1.976,0.209,0.174,0.265,0.114,0.115,242.1,104.9,104.9,0.032,0.014,0.012,,,
201243638,11 22 58.672,-03 18 21.94,1,9.893,,4926-306-1,434-055170,11225867-0318220,,STAR,gri,rav,-34.7,1.4,1.3,1.4,,,10.881,0.065,10.052,0.043,,,10.692,0.15,9.859,0.06,9.55,0.02,,,8.515,0.034,8.122,0.055,7.957,0.021,,,,,,,,,5059,124,82,3.574,0.12,0.12,-0.285,0.12,0.12,2.821,0.527,0.444,1.113,0.144,0.12,0.048,0.025,0.017,221.5,37.78,27.24,0.027,0.013,0.009,,,
201244712,11 23 34.772,-03 17 21.90,1,8.761,55609,4926-297-1,434-055178,11233476-0317217,,STAR,gri,plx,61.92,0.96,-82.93,0.69,5.06,1,9.63,0.031,8.595,0.017,,,10.285,0.11,9.197,0.14,8.107,0.08,,,6.724,0.029,6.206,0.027,6.025,0.027,,,,,,,,,4641,109,109,2.581,0.273,0.195,0.009,0.16,0.2,9.856,1.858,2.878,1.335,0.314,0.196,0.001,0.002,6.73E-04,197.6,39.06,39.06,0.033,0.016,0.013,,,
