EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
201729714,12 02 53.365,+04 08 45.93,1,9.437,58744,283-773-1,471-046402,12025335+0408458,,STAR,gri,plx,-35.88,1.03,-17.08,0.59,4.59,1.01,9.275,0.02,9.13,0.018,,,9.749,0.03,9.412,0.04,9.304,0.01,,,8.914,0.024,8.877,0.067,8.876,0.023,,,,,,,,,6373,196,156,4.071,0.14,0.14,-0.002,0.12,0.18,1.715,0.356,0.295,1.336,0.132,0.132,0.241,0.164,0.097,217.9,47.94,47.94,0.027,0.015,0.011,,,
201730776,11 45 34.360,+04 09 51.22,1,9.542,,275-756-1,471-045969,11453436+0409513,,STAR,BV,rpm,-5.5,1.3,-7.1,1.3,,,9.845,0.032,9.539,0.031,,,,,,,,,,,8.52,0.023,8.285,0.059,8.23,0.021,,,,,,,,,6353,318,318,3.891,0.324,0.27,0.001,0.15,0.18,2.012,1.012,0.673,1.458,0.288,0.288,0.129,0.306,0.082,213.3,106.6,82.16,0.028,0.016,0.012,,,
201732105,12 03 44.950,+04 11 08.16,1,9.703,,283-307-1,471-046424,12034494+0411081,,STAR,gri,rpm,-4.6,1.5,-2.7,1.5,,,11.024,0.061,9.939,0.031,,,10.531,0.1,9.772,0.04,9.348,0.04,,,8.252,0.019,7.749,0.029,7.63,0.015,,,,,,,,,4769,97,97,2.456,0.312,0.144,-0.221,0.2,0.28,10.999,1.145,2.663,1.214,0.426,0.236,8.99E-04,0.001,3.13E-04,677.5,70.52,143.3,0.035,0.016,0.013,,,
201733406,11 21 33.867,+04 12 29.90,1,8.016,55467,267-233-1,472-045369,11213386+0412299,,STAR,BV,plx,-87.21,1.03,-8.15,0.9,10.31,1.07,8.542,0.019,8.074,0.014,,,,,,,,,,,7.123,0.021,6.904,0.027,6.84,0.018,,,,,,,,,6331,256,256,4.052,0.108,0.09,0.005,0.12,0.16,1.794,0.219,0.232,1.353,0.085,0.102,0.216,0.098,0.058,96.99,10.07,10.07,0.018,0.008,0.007,,,
201734727,11 50 46.161,+04 13 46.43,1,9.491,,276-672-1,472-046017,11504615+0413464,,STAR,gri,rpm,-0.1,1.7,2.1,1.6,,,11.183,0.094,9.918,0.043,,,10.499,0.03,9.576,0.04,9.059,0.01,,,7.77,0.02,7.184,0.027,7.043,0.018,,,,,,,,,4499,54,72,1.537,0.565,1.243,-0.892,0.66,0.99,25.871,82.226,11.269,0.922,0.296,0.085,4.80E-05,2.48E-04,4.74E-05,1128,3300,465.1,0.027,0.017,0.012,,,
201736055,11 51 53.980,+04 15 04.47,1,9.776,,276-854-1,472-046041,11515397+0415043,,STAR,gri,rpm,-15.9,1.7,4.8,1.7,,,11.162,0.09,10.166,0.052,,,10.635,0.03,9.84,0.04,9.408,0.06,,,8.234,0.046,7.685,0.026,7.597,0.02,,,,,,,,,4762,94,94,2.37,0.265,0.53,-0.456,0.25,0.6,11.125,7.253,2.469,1.025,0.237,0.169,7.13E-04,9.40E-04,5.81E-04,658.2,385.5,146.3,0.029,0.016,0.01,,,
201740492,11 37 48.043,+04 19 23.83,1,8.358,56724,274-679-1,472-045708,,,STAR,gri,pmV,-10.96,2.14,-5.58,2.1,-0.04,2.13,10.918,0.079,9.537,0.031,,,10.374,0.03,9.012,0.04,7.494,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201741764,11 21 50.864,+04 20 36.88,1,9.815,,267-1013-1,472-045384,11215086+0420367,,STAR,gri,rpm,21.8,2.1,-4,2.1,,,10.671,0.057,10.072,0.046,,,10.361,0.03,9.709,0.04,9.581,0.06,,,8.641,0.023,8.265,0.04,8.261,0.026,,,,,,,,,5271,129,129,2.958,1.472,0.644,-0.634,0.66,0.3,5.173,4.621,4.23,0.913,0.337,0.02,0.005,0.945,0.005,446.1,346.5,366.6,0.025,0.013,0.008,,,
201743468,11 40 18.912,+04 22 17.67,1,9.902,,275-268-1,472-045773,11401890+0422176,,STAR,gri,rpm,14.1,1.4,-174.8,1.3,,,10.756,0.058,10.06,0.042,,,10.452,0.03,9.863,0.04,9.666,0.02,,,8.845,0.037,8.49,0.038,8.447,0.021,,,,,,,,,5463,109,197,4.525,0.055,0.055,-0.123,0.2,0.44,0.852,0.076,0.109,0.898,0.078,0.14,1.413,0.445,0.296,87.86,11.36,14.65,0.015,0.01,0.004,,,
201746719,11 38 44.562,+04 25 35.48,1,8.846,56808,274-942-1,473-047319,11384456+0425355,,STAR,gri,plx,-55.2,1.13,-4.16,0.91,7.72,1.03,8.962,0.02,8.505,0.016,,,9.862,0.01,8.981,0.04,8.411,0.13,,,7.704,0.021,7.608,0.061,7.516,0.031,,,,,,,,,6541,398,331,4.076,0.105,0.126,-0.006,0.12,0.15,1.725,0.308,0.191,1.408,0.118,0.118,0.242,0.104,0.084,129.5,17.28,17.28,0.021,0.011,0.008,,,
201749662,11 15 38.953,+04 28 39.97,1,8.283,54998,266-1021-1,473-046811,11153895+0428400,,STAR,BV,plx,-19.73,0.82,-106.64,0.82,9.46,0.93,8.771,0.017,8.33,0.013,,,,,,,,,,,7.408,0.02,7.224,0.036,7.156,0.016,,,,,,,,,6635,269,323,4.151,0.08,0.096,0.013,0.1,0.14,1.624,0.185,0.166,1.391,0.1,0.1,0.303,0.106,0.078,105.7,10.39,10.39,0.019,0.01,0.007,,,
201749946,11 13 13.235,+04 28 56.43,1,8.474,54810,266-586-1,473-046757,11131322+0428562,,STAR,BV,plx,-314.99,1.34,-33.68,0.95,54.7,1.23,9.949,0.028,8.71,0.015,,,,,,,,,,,6.553,0.023,5.925,0.038,5.853,0.018,,,,,,,,,4576,72,72,4.662,0.02,0.02,-0.033,0.15,0.18,0.653,0.014,0.016,0.721,0.017,0.026,2.538,0.152,0.152,18.28,0.548,0.548,0,0,0,,,
201750752,11 51 05.592,+04 29 44.18,1,9.499,,276-932-1,473-047592,11510560+0429441,,STAR,gri,rpm,-19.7,1.5,-9.9,1.5,,,10.76,0.068,9.799,0.039,,,10.475,0.25,9.629,0.1,9.081,0.03,,,7.924,0.023,7.402,0.055,7.284,0.02,,,,,,,,,4673,139,139,2.439,0.279,0.155,-0.176,0.2,0.36,10.978,1.569,2.573,1.197,0.272,0.227,8.49E-04,0.001,3.67E-04,573,83.07,115.7,0.034,0.016,0.013,,,
