name,vis_st,teff,etefflo,eteffhi,rs,erslo,ershi,log10lum,elog10lumlo,elog10lumhi
212006344,M1V,3994.490234,76.61240387,76.83181,0.590827823,0.027292162,0.027315063,-1.185405493,0.064779043,0.065486148
212069861,M0V,4072.232666,80.67513275,83.26866913,0.571063161,0.02751882,0.02754451,-1.092796564,0.066512436,0.064042181
212154564,M3V,3558.838135,84.3772049,87.72971344,0.343079507,0.02934433,0.030333709,-1.643231153,0.057538759,0.056579664
212354731,M3V,3599.496582,112.8345566,114.5436707,0.417705774,0.03264052,0.033270065,-1.5242486,0.096939795,0.091911308
212398486,M2V,3654.902832,94.54456329,102.2324982,0.402256727,0.030294633,0.031048648,-1.540287971,0.065639883,0.06432043
212443973,M3V,3419.261719,81.81681824,85.26258087,0.343407869,0.028089575,0.028536791,-1.889484882,0.054749433,0.054636214
212460519,K7V,4673.604492,138.7726135,164.7147064,0.69749558,0.041966278,0.044722501,-0.771919727,0.072690748,0.06984926
212470904,K5V,4736.948242,164.5545349,193.921936,0.876904488,0.071993679,0.100985803,-0.523183584,0.068816178,0.068585895
212525174,M0V,4715.749023,86.64788818,88.12586212,0.784313083,0.032148961,0.032432716,-0.690400124,0.05326381,0.055261716
212530118,K6V,4307.208008,113.62323,122.8638077,0.772953272,0.057031047,0.061506022,-0.709733725,0.073345639,0.078186803
212532636,K3V,4608.237305,117.1676407,136.0041351,0.893849492,0.060617398,0.073519282,-0.583035231,0.064827882,0.06924542
212554013,K3V,4364.54834,123.3395386,141.724762,0.650267899,0.040159371,0.045778126,-0.75407362,0.075768605,0.075164795
212565386,M1V,4260.222168,118.9901962,135.9151611,0.581932962,0.034357738,0.037859213,-1.052753687,0.071628235,0.068618603
212572452,M0V,4331.522461,128.9255524,139.1398926,0.675327241,0.037097394,0.04622383,-0.850604057,0.129597157,0.120595567
212628098,K7V,3943.001221,81.41085052,83.77217102,0.564635634,0.028294014,0.028161159,-0.791393518,0.067646086,0.064509697
212634172,M3V,3410.574219,95.37111664,96.93596649,0.345668316,0.032884128,0.033749405,-1.866610527,0.064409941,0.06154108
212679181,M3V,3708.831055,94.45123291,95.96315765,0.44261533,0.030965038,0.03379355,-1.535614252,0.05514795,0.054747518
212679798,M0V,3827.32373,88.28839111,93.02190399,0.561514258,0.028910812,0.028979808,-1.00227046,0.081467703,0.081531525
212686205,K4V,4466.571777,147.2570496,168.5825806,0.773356915,0.059314787,0.077654362,-0.670728683,0.06617891,0.063204162
212690867,M2V,3789.812012,140.0380249,169.1661987,0.406130373,0.032951504,0.035995502,-1.568818331,0.074388325,0.073424622
212756297,K5V,4483.553711,150.5855255,167.416748,0.829830527,0.076659702,0.097469613,-0.466277361,0.105434187,0.104048714
212773272,M3V,3365.066406,80.80854797,82.73575592,0.428588986,0.030441873,0.029414684,-1.753133774,0.068630621,0.06903331
212773309,M0V,4180.003906,84.20412445,89.04719543,0.58810693,0.028484548,0.029221455,-0.794562578,0.058530185,0.056614503
213951550,M3V,3575.581055,87.11585236,89.29268646,0.471445978,0.030054627,0.030277567,-1.366480827,0.07529559,0.07774692
214254518,K6V,4332.039063,96.37797546,103.8720474,0.665849686,0.032625522,0.035567202,-0.834090948,0.064654142,0.065305993
214522613,M1V,3604.562256,94.11379242,96.15309906,0.448086083,0.03277728,0.032069989,-1.412072897,0.081825085,0.081665926
214787262,M3V,3457.260254,84.11022949,88.96073914,0.358859777,0.029637257,0.030917443,-1.840877295,0.055887911,0.055922404
216892056,M0V,3574.681641,93.71047211,97.04350281,0.468084931,0.031615894,0.032234196,-1.602797985,0.09233398,0.089889392
217941732,K4V,4347.161133,180.6577148,206.0311127,0.746239066,0.07624878,0.115462542,-0.858347654,0.131209403,0.133055583
211694226,M3V,3453.602051,82.8331604,83.67092896,0.445021272,0.030857636,0.031125637,-1.459968805,0.073617831,0.075952798